year,month,emd_nm,ETC_visit_pop_cnt,THA_visit_pop_cnt
2018,1,건입동,74071.26200000016,4151.8176000000185
2018,1,구좌읍,41451.21409999998,5113.537300000004
2018,1,남원읍,251894.20200000002,3670.95790000001
2018,1,노형동,195406.12230000013,4151.817700000021
2018,1,대륜동,42498.483900000116,328.3923999999999
2018,1,대정읍,33287.9391000001,7799.318600000027
2018,1,대천동,15800.679800000047,551.2300999999998
2018,1,도두동,87949.77200000038,15375.796600000058
2018,1,동홍동,28786.199200000014,891.3507999999995
2018,1,봉개동,14548.089200000031,586.4149999999998
2018,1,삼도1동,16391.141800000027,152.46790000000001
2018,1,삼도2동,105143.86440000065,1993.8107999999986
2018,1,삼양동,8557.854800000016,609.8715999999997
2018,1,서홍동,130739.43489999993,2087.637399999999
2018,1,성산읍,109056.55160000082,12643.103399999998
2018,1,송산동,6831.597800000007,35.1849
2018,1,아라동,29888.815400000018,70.36980000000001
2018,1,안덕면,97439.81690000044,13006.682600000027
2018,1,애월읍,167482.2667000001,11001.145300000051
2018,1,연동,818105.9259000013,11329.536000000038
2018,1,영천동,19938.11469999994,11.7283
2018,1,예래동,112123.9696000006,562.9583999999998
2018,1,오라동,23025.115299999954,656.7847999999997
2018,1,외도동,7802.991499999981,24359.670200000124
2018,1,용담1동,10794.303400000013,35.1849
2018,1,용담2동,513645.2746000005,64400.04640000027
2018,1,우도면,7310.2347999999965,328.3923999999999
2018,1,이도1동,25986.81929999998,293.2074999999999
2018,1,이도2동,37776.30799999993,4233.916200000017
2018,1,이호동,9416.596299999996,31009.61030000008
2018,1,일도1동,13154.553900000003,926.5355999999995
2018,1,일도2동,15516.280600000006,46.9132
2018,1,정방동,38006.60990000005,23.4566
2018,1,조천읍,45581.233199999995,703.6979999999996
2018,1,중문동,34127.97530000013,187.6528
2018,1,중앙동,13112.274800000016,281.47919999999993
2018,1,천지동,17406.058700000005,187.65279999999998
2018,1,추자면,12004.869000000053,105.55470000000003
2018,1,표선면,33630.344900000004,11869.036800000084
2018,1,한경면,13030.300100000011,1466.037499999999
2018,1,한림읍,57691.83379999997,398.76219999999984
2018,1,화북동,8625.80090000003,0.0
2018,1,효돈동,6418.454500000082,0.0
2018,2,건입동,82359.87259999997,1382.6168999999989
2018,2,구좌읍,33742.27430000009,3454.3684000000176
2018,2,남원읍,158079.13300000023,2019.4094999999961
2018,2,노형동,237272.74889999995,4431.352800000035
2018,2,대륜동,45988.25009999999,562.6448999999999
2018,2,대정읍,27771.368600000016,2930.974100000008
2018,2,대천동,15079.85040000005,327.11970000000036
2018,2,도두동,85932.50980000006,8792.912900000012
2018,2,동홍동,47604.80980000003,135.20959999999997
2018,2,봉개동,17946.17180000001,244.2495000000002
2018,2,삼도1동,11527.108599999976,61.06240000000002
2018,2,삼도2동,90580.17770000001,1016.2479999999978
2018,2,삼양동,10522.362400000009,52.33920000000001
2018,2,서홍동,108528.82000000012,409.9903000000006
2018,2,성산읍,108907.64069999984,5351.641900000026
2018,2,송산동,9134.324699999968,13.084800000000001
2018,2,아라동,29923.82520000008,375.09740000000045
2018,2,안덕면,104809.26510000006,5103.034000000037
2018,2,애월읍,172077.36720000007,6668.833899999999
2018,2,연동,801840.9388,21018.37889999989
2018,2,영천동,17909.986199999996,17.4464
2018,2,예래동,185594.65589999958,863.5923999999972
2018,2,오라동,17713.431300000004,610.6215999999998
2018,2,외도동,5737.879199999994,6690.641300000023
2018,2,용담1동,9857.408699999974,113.40159999999997
2018,2,용담2동,529370.4808000004,38713.240000000165
2018,2,우도면,11665.632499999963,4.3616
2018,2,이도1동,25407.964100000037,122.1245
2018,2,이도2동,47937.862800000104,1295.3887999999974
2018,2,이호동,16082.186899999944,18977.162799999976
2018,2,일도1동,13443.98630000001,628.0674999999992
2018,2,일도2동,15606.349700000059,43.6158
2018,2,정방동,56772.93410000002,492.8608000000008
2018,2,조천읍,41927.98870000003,1160.1838999999939
2018,2,중문동,28674.36270000004,82.8702
2018,2,중앙동,13921.767499999976,13.084800000000001
2018,2,천지동,23397.24950000004,0.0
2018,2,추자면,19798.304900000086,109.03999999999998
2018,2,표선면,35812.87360000002,5460.68170000002
2018,2,한경면,9590.506899999997,279.1424000000003
2018,2,한림읍,68869.05240000009,841.7869999999969
2018,2,화북동,3919.6529000000087,104.67839999999998
2018,2,효돈동,3211.012499999993,0.0
2018,3,건입동,107799.4819,4459.372500000006
2018,3,구좌읍,74281.2746,6355.559299999989
2018,3,남원읍,162677.1155,5031.089899999982
2018,3,노형동,312220.18250000017,6422.262499999967
2018,3,대륜동,56891.41870000013,2239.216000000006
2018,3,대정읍,67075.78809999999,10309.917599999948
2018,3,대천동,31093.313200000157,1448.3419
2018,3,도두동,97801.83210000009,20581.71410000008
2018,3,동홍동,26191.081900000027,914.7450999999991
2018,3,봉개동,27777.419300000005,1305.4177000000018
2018,3,삼도1동,18484.46909999998,28.585800000000003
2018,3,삼도2동,122170.06759999991,3335.0009000000045
2018,3,삼양동,11136.649299999966,0.0
2018,3,서홍동,165547.68669999996,2648.9446000000094
2018,3,성산읍,170431.50110000008,13587.743199999974
2018,3,송산동,10904.455400000043,200.10019999999997
2018,3,아라동,58132.952900000026,1238.717100000001
2018,3,안덕면,380531.7872999999,9795.375799999949
2018,3,애월읍,222109.3550000002,16036.590799999936
2018,3,연동,1210242.486099999,19114.314099999938
2018,3,영천동,10978.7399,1114.8445
2018,3,예래동,163493.63979999974,9623.858799999924
2018,3,오라동,38252.6132000001,895.6867999999994
2018,3,외도동,8327.552600000041,16865.571899999944
2018,3,용담1동,14085.12190000002,28.585800000000003
2018,3,용담2동,692685.3235999999,91426.64470000032
2018,3,우도면,14157.189699999966,19.0572
2018,3,이도1동,33381.24480000011,1238.7177000000006
2018,3,이도2동,78995.5318999996,3506.5173000000113
2018,3,이호동,13752.953399999982,47947.77120000001
2018,3,일도1동,16451.2062,1257.7715000000003
2018,3,일도2동,24183.59990000006,85.7573
2018,3,정방동,51524.64200000012,3725.674900000016
2018,3,조천읍,68016.04530000011,1715.1429000000044
2018,3,중문동,71826.50709999983,828.9869999999993
2018,3,중앙동,20624.638699999974,28.585800000000003
2018,3,천지동,24956.142500000016,362.08590000000004
2018,3,추자면,26939.832400000032,705.1157999999994
2018,3,표선면,54232.75300000015,14492.960099999957
2018,3,한경면,25070.93430000012,3106.316800000012
2018,3,한림읍,96483.00570000001,1543.6324000000038
2018,3,화북동,17200.88540000004,38.1143
2018,3,효돈동,2826.3021999999933,657.4731999999993
2018,4,건입동,144307.74929999965,7664.0242999999655
2018,4,구좌읍,70148.51809999974,8474.725299999982
2018,4,남원읍,192107.28349999996,2833.2611000000065
