year,month,emd_nm,FRA_cnt,KHM_cnt,LKA_cnt,MMR_cnt,UZB_cnt,UKR_cnt,ETC_resd_pop_cnt
2018,1,건입동,0.0,0.0,5896.4162,631.6296,0.0,0.0,95276.397
2018,1,구좌읍,0.0,18215.9307,22361.634700000002,4364.4379,3359.064,0.0,173068.31650000002
2018,1,남원읍,0.0,22491.4838,43569.4815,4062.3581,0.0,0.0,144263.7194
2018,1,노형동,1587.3215999999998,19608.610699999997,3470.9789,2805.987,2067.2869,0.0,1371625.0481999998
2018,1,대륜동,0.0,5465.304899999999,0.0,0.0,0.0,0.0,106488.61390000001
2018,1,대정읍,0.0,11852.0676,55963.3269,4930.598299999999,0.0,0.0,746244.4097999999
2018,1,대천동,0.0,10080.899700000002,0.0,0.0,0.0,0.0,94132.88269999999
2018,1,도두동,0.0,14689.7597,0.0,0.0,0.0,0.0,54586.05009999999
2018,1,동홍동,0.0,11826.146200000001,5375.907,0.0,4547.3561,0.0,208917.3621
2018,1,봉개동,0.0,0.0,1368.8556,0.0,0.0,0.0,52854.60539999999
2018,1,삼도1동,0.0,0.0,0.0,0.0,8304.057400000002,0.0,76168.0131
2018,1,삼도2동,0.0,0.0,0.0,0.0,0.0,0.0,92340.72789999997
2018,1,삼양동,0.0,0.0,0.0,0.0,0.0,0.0,65597.4633
2018,1,서홍동,0.0,0.0,0.0,0.0,0.0,0.0,45240.2122
2018,1,성산읍,0.0,7286.9727,49590.71119999998,4358.061699999999,0.0,5961.6007,258656.15809999997
2018,1,송산동,0.0,0.0,8303.8879,498.8742000000001,0.0,0.0,61185.12159999999
2018,1,아라동,0.0,14197.8554,34152.051400000004,0.0,0.0,0.0,746549.839
2018,1,안덕면,4702.0497000000005,0.0,4179.9385,494.53349999999995,5147.812,0.0,826770.9565999999
2018,1,애월읍,0.0,60109.9282,6624.797199999999,4777.798,0.0,3923.0240999999996,691141.5307
2018,1,연동,0.0,5273.1831,9098.7035,7402.507200000001,15899.254600000002,0.0,1916024.4927
2018,1,영천동,0.0,0.0,8861.843399999998,12739.761100000002,10458.989200000002,0.0,49984.419799999996
2018,1,예래동,0.0,0.0,0.0,4072.0872999999997,0.0,0.0,116043.87019999999
2018,1,오라동,0.0,0.0,0.0,0.0,0.0,0.0,135147.5593
2018,1,외도동,0.0,0.0,0.0,0.0,1186.4438999999995,0.0,71161.61809999998
2018,1,용담1동,0.0,0.0,0.0,0.0,0.0,0.0,38272.5212
2018,1,용담2동,0.0,0.0,0.0,0.0,0.0,0.0,102387.542
2018,1,우도면,0.0,0.0,0.0,0.0,0.0,0.0,11912.3108
2018,1,이도1동,0.0,2953.7680000000005,0.0,0.0,0.0,0.0,69624.89330000001
2018,1,이도2동,4168.4715,7000.6722,2643.2196,0.0,16011.2379,0.0,362260.36650000006
2018,1,이호동,0.0,0.0,0.0,0.0,12962.4814,0.0,48874.3906
2018,1,일도1동,0.0,0.0,0.0,0.0,4559.113300000001,0.0,42985.552500000005
2018,1,일도2동,0.0,11688.742600000001,0.0,0.0,0.0,0.0,178487.88989999998
2018,1,정방동,0.0,0.0,0.0,0.0,0.0,0.0,122892.78310000002
2018,1,조천읍,0.0,12167.874399999999,49251.81860000001,24703.6114,0.0,0.0,195402.1408
2018,1,중문동,0.0,0.0,4648.116300000001,0.0,0.0,0.0,193769.37299999996
2018,1,중앙동,0.0,0.0,0.0,0.0,0.0,0.0,45700.681099999994
2018,1,천지동,0.0,0.0,0.0,0.0,0.0,0.0,14223.718500000003
2018,1,추자면,0.0,0.0,1003.0214000000001,0.0,0.0,0.0,25195.7057
2018,1,표선면,0.0,3177.0625999999997,8476.101,18724.361,0.0,0.0,211667.1078
2018,1,한경면,0.0,6125.101099999999,18739.1131,0.0,0.0,0.0,108034.9878
2018,1,한림읍,0.0,17517.0729,61539.5615,3307.1599,5753.208599999999,0.0,931252.8407000002
2018,1,화북동,0.0,3151.6472,9972.533,0.0,0.0,0.0,180417.4817
2018,1,효돈동,0.0,0.0,9215.538299999998,0.0,0.0,0.0,19041.979700000004
2018,2,건입동,0.0,0.0,3089.7859000000003,1305.1317,0.0,0.0,78902.30739999999
2018,2,구좌읍,0.0,18409.2979,20115.1414,3701.5944999999997,2684.298700000001,0.0,183455.26870000002
2018,2,남원읍,0.0,21410.432899999993,35605.9948,7222.693000000001,0.0,0.0,129387.8099
2018,2,노형동,0.0,16498.454999999994,258.63430000000005,18504.882499999996,1497.59,0.0,1065739.1114
2018,2,대륜동,0.0,15553.252299999998,0.0,0.0,0.0,0.0,95187.95079999996
2018,2,대정읍,0.0,20093.709999999995,43589.0998,6988.738699999999,0.0,0.0,629738.7231999999
2018,2,대천동,0.0,8981.3354,0.0,0.0,0.0,0.0,89924.1401
2018,2,도두동,0.0,14081.1215,0.0,0.0,0.0,0.0,52891.9795
2018,2,동홍동,0.0,5910.359100000001,88.05779999999999,1092.6157,2354.641,0.0,162719.46150000003
2018,2,봉개동,0.0,0.0,1755.5410000000002,0.0,0.0,0.0,38071.484500000006
2018,2,삼도1동,0.0,0.0,0.0,0.0,8123.3217,0.0,74290.3795
2018,2,삼도2동,0.0,0.0,0.0,0.0,0.0,0.0,77297.97809999998
2018,2,삼양동,0.0,4338.9951999999985,6785.6737,0.0,0.0,0.0,62859.22840000001
2018,2,서홍동,0.0,0.0,0.0,0.0,0.0,0.0,52380.64589999999
2018,2,성산읍,0.0,6882.571900000001,40811.89139999999,3381.2407999999996,0.0,6037.2768,230433.77250000002
2018,2,송산동,0.0,0.0,7926.701599999999,173.73510000000002,0.0,0.0,76965.58179999999
2018,2,아라동,0.0,9046.344,31270.915599999997,4656.4927,0.0,0.0,549354.7146
2018,2,안덕면,5466.654700000002,0.0,3597.0854000000004,0.0,3045.3621,0.0,736123.3753000001
2018,2,애월읍,0.0,43292.99189999999,1943.2758999999996,5305.276399999999,0.0,4566.911900000001,590001.1567000002
2018,2,연동,0.0,2903.3365999999996,7482.176099999999,11541.9554,14136.153200000002,0.0,1650301.844
2018,2,영천동,0.0,0.0,8060.3939,11538.145,8264.0622,0.0,54219.14199999999
2018,2,예래동,0.0,0.0,0.0,3745.4967,0.0,0.0,113927.52370000005
2018,2,오라동,0.0,0.0,0.0,0.0,0.0,0.0,141790.86529999998
2018,2,외도동,0.0,0.0,0.0,0.0,0.0,0.0,59170.96789999999
2018,2,용담1동,0.0,0.0,0.0,0.0,0.0,0.0,23781.644699999997
2018,2,용담2동,0.0,0.0,0.0,0.0,0.0,0.0,92374.02760000002
2018,2,우도면,0.0,0.0,0.0,0.0,0.0,0.0,10743.976900000001
2018,2,이도1동,0.0,2062.3714999999997,0.0,0.0,0.0,0.0,69587.5767
