,year,month,emd_nm,em_g,BGD_cnt,DEU_cnt,FRA_cnt,KGZ_cnt,LKA_cnt,MMR_cnt,NPL_cnt,PHL_cnt,UKR_cnt,UZB_cnt,ETC_visit_pop_cnt,THA_visit_pop_cnt,배달_cnt,resd
0,2018,1,건입동,45646550,0.0,0.0,0.0,0.0,5896.4162,631.6296,4668.393499999999,6598.8492,0.0,0.0,74071.26200000016,4151.8176000000185,585,10662824.488199996
1,2018,1,남원읍,42437700,0.0,0.0,0.0,0.0,43569.4815,4062.3581,31322.6448,14523.822799999998,0.0,0.0,251894.202,3670.95790000001,265,14994199.197700001
2,2018,1,노형동,265018400,0.0,0.0,1587.3215999999998,0.0,3470.9789,2805.987,10325.6603,5608.5013,0.0,2067.2869,195406.12230000013,4151.817700000021,4330,56524049.0703
3,2018,1,대륜동,57612600,0.0,1271.6303999999998,0.0,0.0,0.0,0.0,0.0,3869.4986,0.0,0.0,42498.48390000012,328.3923999999999,490,15786335.2433
4,2018,1,대정읍,38885550,0.0,0.0,0.0,0.0,55963.3269,4930.598299999999,0.0,17855.828300000005,0.0,0.0,33287.9391000001,7799.318600000027,477,17063642.9403
5,2018,1,대천동,53858550,0.0,0.0,0.0,0.0,0.0,0.0,23277.6725,0.0,0.0,0.0,15800.679800000047,551.2300999999998,470,9118651.1894
6,2018,1,도두동,14694200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87949.77200000038,15375.796600000058,135,3745960.1864000005
7,2018,1,동홍동,118701000,0.0,0.0,0.0,0.0,5375.907,0.0,0.0,11237.746100000002,0.0,4547.3561,28786.199200000014,891.3507999999995,828,18083096.0606
8,2018,1,봉개동,10390450,0.0,0.0,0.0,0.0,1368.8556,0.0,0.0,0.0,0.0,0.0,14548.089200000031,586.4149999999998,40,5405437.739499999
9,2018,1,삼도1동,71078500,0.0,0.0,0.0,0.0,0.0,0.0,4274.4157,0.0,0.0,8304.057400000002,16391.141800000027,152.4679,891,11840461.310999999
10,2018,1,삼도2동,39820100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105143.86440000065,1993.8107999999984,797,7486322.199600001
11,2018,1,삼양동,102218000,0.0,0.0,0.0,0.0,0.0,0.0,26771.488500000007,5314.538199999999,0.0,0.0,8557.854800000016,609.8715999999997,770,17979280.396599997
12,2018,1,서홍동,47230450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5543.026500000001,0.0,0.0,130739.43489999992,2087.637399999999,160,6285116.1988
13,2018,1,성산읍,11343100,0.0,0.0,0.0,0.0,49590.71119999998,4358.061699999999,13533.764900000002,9494.5336,5961.6007,0.0,109056.55160000082,12643.103399999998,235,15561377.1901
14,2018,1,송산동,22834700,0.0,0.0,0.0,0.0,8303.8879,498.8742000000001,0.0,0.0,0.0,0.0,6831.597800000007,35.1849,125,2759832.9969
15,2018,1,아라동,120076450,7781.9785,0.0,0.0,0.0,34152.051400000004,0.0,3993.5051000000008,3585.2139,0.0,0.0,29888.815400000018,70.36980000000001,1212,34418369.4067
16,2018,1,안덕면,10007850,0.0,2151.1618000000003,4702.0497000000005,0.0,4179.9385,494.5335,17947.9083,6741.8617,0.0,5147.812,97439.81690000044,13006.682600000027,195,17999262.4863
17,2018,1,애월읍,7744200,6523.4184,0.0,0.0,0.0,6624.797199999999,4777.798,44916.8273,20763.2326,3923.0241,0.0,167482.2667000001,11001.145300000053,893,39839173.3025
18,2018,1,연동,206889500,0.0,0.0,0.0,21438.239300000005,9098.7035,7402.507200000001,20590.3867,10832.138500000005,0.0,15899.254600000002,818105.9259000013,11329.536000000038,4978,53875454.83679999
